SRCSYS,CONTRACT_NO,CONTRACT_ITEM,BUSINESS_AREA,BUSINESS_AREA_NAME,COMP_CODE,COMP_CODE_NAME,TARGET_COMP_CODE,TARGET_COMP_CODE_NAME,CO_AREA,PROFIT_CTR,PROFIT_CTR_NAME,PLANT,PLANT_NAME,PRODUCT_CLUSTER,PRODUCT_BPC,SBU,PRODUCT_BPC_SBU,BUSINESS_NATURE,SALES_OFFICE,DIVISION,DIVISION_TEXT,PRICING_TYPE,BUY_SELL,CONTRACT_TYPE,CHANNEL,CHANNEL_NAME,REASON_REJ,REASON_REJ_TEXT,EXTERNAL_REFERENCE,INTERNAL_REFERENCE,CONTRACT_RULES,SALES_GROUP,SALES_GROUP_NAME,SALES_PERSON,SALES_PERSON_NAME,CONTRACT_DATE,CONTRACT_DATE_YM,CONTRACT_DATE_YR,SHIPMENT_START_DATE,SHIPMENT_END_DATE,DELIVERY_START_DATE,DELIVERY_END_DATE,CUSTOMER,CUSTOMER_NAME,CUSTOMER_COUNTRY,CUSTOMER_COUNTRY_NAME,CUSTOMER_PARENT,CUSTOMER_GROUP,CUSTOMER_TYPE,REPO,PRIORITY,DESTINATION_COUNTRY,DESTINATION_COUNTRY_NAME,OFI_REGION,SUB_REGION,SHIP_TO,SHIP_TO_NAME,SHIP_TO_COUNTRY,SHIP_TO_COUNTRY_NAME,BILL_TO,FINAL_CUSTOMER_ID,MATERIAL,MATERIAL_TEXT,PRINT_MATERIAL_TEXT,PRODUCT,RAW_MATERIAL,PRODUCT_INNOVATION,PRODUCT_CATEGORY,PRODUCT_CLASSIFICATION,PRODUCT_GRADE,PRODUCT_SUBCATEGORY,PRODUCT_SUBGRADE,PRODUCT_TYPE,MATERIAL_VALUE_STREAM,MATERIAL_VARIETY,PACKING_TYPE,MATERIAL_DEFECTS,MATERIAL_PROCESSING_TYPE,BRAND,MATERIAL_SIZE,PACKING_SIZE,MATERIAL_GROUP,MATL_GROUP_TEXT,QUALITY_TYPE,SHIPMENT_BASIS,CONTRACT_BASIS,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,CERTIFICATION,CROP_YEAR,INCOTERM_ID,INCOTERM,PAYMENT_TERMS,POS,POS_DESCRIPTION,POS_COUNTRY,POS_COUNTRY_NAME,POD,POD_DESCRIPTION,POD_COUNTRY,POD_COUNTRY_NAME,MODE_OF_TRANSPORT,TRANSPORT_TYPE,PACKING,PACKING_UOM,NO_OF_PACKING,PACKING_MATERIAL,WEIGHT_TERMS,WEIGHT_TERMS_DESC,EBIT_UPLIFT,TERMINAL_MONTH,EXCHANGE,BUYER_SELLER_CALL,NO_OF_LOTS,OVER_UNDER,SUBCONTRACT_ID,SAP_CONTRACT_ID,CONTRACT_QTY,DIFFERENTIAL_CONTRACT_QTY,FIXED_CONTRACT_QTY,CONTRACT_UOM,CONTRACT_QTY_MT,CONTRACT_QTY_BU,BASE_UOM,FIXED_PRICE,DIFFERENTIAL_PRICE_USD_MT,FIXED_PRICE_USD_MT,PRICE_UOM,RATIO,FIXED_CONTRACT_VALUE,NET_VALUE,NET_VALUE_USD,CONTRACT_CURRENCY,OVERDLVRY_TOL,UNDERDLVRY_TOL,FX_RATE,TARGET_QTY,DIFFERENTIAL_PRICE,FINAL_PRICE,SALES_UNIT,FXE_RATE,ORIGINAL_CONTRACT_QUANTITY,CONTRACT_BALANCE,CREATED_BY,CREATED_DATE,MODIFIED_DATE,DOC_TYPE,DOC_TYPE_TEXT,ITEM_CATEG,ITEM_CATEG_TEXT,DOC_CATEG,DOC_CATEG_TEXT,MODIFIED_BY,STOCK_IN,ETL_LOAD_TIME,PRICING_NUMBER,REJ_STATUS
C,S023819-1,1,806,OLAM AGRO PERU S A C,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,,,,,10037,,1/27/2022,2022-01,2022,1/24/2022,1/30/2022,1/24/2022,1/30/2022,,,,,,,TPS,,,CI,Cote d'Ivoire,Rest of Africa,West Africa,,,,,,,12197,PERU ARABICA WASHED DESCARTES,GREEN COFFEE PERU ARABICA WASHED DESCARTES,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,69,,,,Shipment,Shipment,PE,Peru,,,FOB,Free on Board,ADV,,,,,CIABJ,,CI,Cote d'Ivoire,01_SEA,20' Container,,KG,14,Jute Bags,Net Shipped Weights,,,Mar-22,ICEUS,,1,,,,1,,,MT,1,0,,1,,22.046,USC/LBS,,22.046,22.046,22.046,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S009026-4,1,760,OLAM AGRO GUATEMALA S.A.,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,FIXED,SELL,Quick Deal,,,,,,,,,,,,11/15/2019,2019-11,2019,,,,,1030373,,,,,,TPS,,,CI,Cote d'Ivoire,Rest of Africa,West Africa,1030373,,,,1030373,1030373,12431,GUATEMALA ARABICA UNWASHED,GUATEMALA ARABICA UNWASHED,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,UNWASHED,,,69,,,,Shipment,Shipment,GT,Guatemala,,,CPT,Carriage Paid To,CAD-Trust,,,,,CIABJ,,CI,Cote d'Ivoire,01_SEA,,,KG,550,Jute Bags,Net Shipped Weights,,,Mar-20,ICEUS,,2,,,,37.95,,,MT,37.95,0,,16,,352.736,USC/LBS,,13386.3312,13386.3312,13386.3312,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S002097-1,1,251,PT OLAM INDONESIA,SG00,,SG00,,OL10,SG001202,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,19/S/04412/A,ESCC,,,10032,,4/23/2019,2019-04,2019,,,,,1083020,,,,,,TPS,,,EG,Egypt,EMENA,North Africa,1083020,,,,1083020,1083020,12109,INDONESIA ROBUSTA UNWASHED EK1 GRADE 4 60 DEFECTS,INDONESIA ROBUSTA UNWASHED EK1 GRADE 4 60 DEFECTS,COFFEE,,,GREEN COFFEE,,,Robusta,,,,,,60 DEFECTS,UNWASHED,,,60,,,,Shipment,Shipment,ID,Indonesia,,,CIF,"Cost, Insurance and Freight",DP,ANYID,,ID,Indonesia,EGEDK,,EG,Egypt,01_SEA,,,KG,1280,Jute Bags,Net Shipped Weights,,,Jul-19,ICELON,,8,,,,76.8,,,MT,76.8,0,,1710,,1710,USD/MT,,131328,131328,131328,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S008172-1,1,658,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,DIFFERENTIAL,SELL,Normal Contract,,,,,extr,intr,,,,1341,,10/16/2019,2019-10,2019,,,,,1064231,,,,,,TPS,,,DK,Denmark,EMENA,North Europe,1064231,,,,1064231,1064231,11933,BURUNDI ARABICA FULLY WASHED A,BURUNDI ARABICA FULLY WASHED A,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,FULLY WASHED,,,60,,,,Shipment,Shipment,BI,Burundi,UTZ (IP) Certified,2019/20,EXW,Ex Warehouse,ADV,,,,,DKAAR,,DK,Denmark,01_SEA,,,KG,1600,Jute Bags,Net Shipped Weights,,,Dec-19,ICEUS,BUYER,6,OVER,,,96,96,0,MT,96,0,,,10,,USD/MT,,,960,960,USD,3,0,,,10,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S614734-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1832,,,,,,,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,6000038303,,GCA,,,10375,,04-11-2022,2022-04,2022,04-11-2022,4/25/2022,04-11-2022,4/25/2022,1025907,,,,,,TPS,,,US,USA,North America,North America,1025907,,,,1025907,1025907,11956,CAMEROON ARABICA WASHED BULK,CAMEROON ARABICA WASHED BULK,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,60,,,,Delivered,Shipment,CM,Cameroon,,2022/23,FOT,FCA,ADV,,,,,,,,,01_SEA,20' Container,,KG,1,Jute Bags,Net Shipped Weights,,,May-22,ICEUS,,1,,,,0.06,,,MT,0.06,0,,376,,8289.296,USC/LBS,,497.35776,497.35776,497.35776,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S004497-1,1,828,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,DIFFERENTIAL,SELL,Normal Contract,,,,,8451P,18/S/11936/E,ESCC,,,1189,,09-10-2018,2018-09,2018,,,,,1048046,,,,,,TPS,,,SG,Singapore,APAC,South-East Asia,1048046,,,,1048046,1048046,12184,NICARAGUA ARABICA WASHED STRICTLY HIGH GROWN,NICARAGUA ARABICA WASHED STRICTLY HIGH GROWN,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,69,,,,Shipment,Shipment,NI,Nicaragua,,,FOB,Free on Board,CAD-Trust,TobeAdvised,,SG,Singapore,TobeAdvised,,SG,Singapore,01_SEA,,,KG,550,Jute Bags,Net Shipped Weights,,,Jul-20,ICEUS,BUYER,2,OVER,,,37.95,37.95,0,MT,37.95,0,,,198.414,,USC/LBS,,,7529.8113,7529.8113,USD,3,0,,,9,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S025200-1,1,809,OLAM AGRO COLOMBIA S.A.S.,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,P611095-1,,,,,1,,05-11-2022,2022-05,2022,03-01-2022,3/31/2022,03-01-2022,3/31/2022,1012021,,,,,,TPS,,,US,USA,North America,North America,1012021,,,,1012021,1012021,11961,COLOMBIA ARABICA WASHED EXCELSO EP 10%,GREEN COFFEE COLOMBIA ARABICA WASHED EXCELSO EP 10%,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,70,,,,Shipment,Shipment,CO,Colombia,,2022/23,FOB,Free on Board,CAD-CopyDocs,,,,,USPEB,,US,USA,01_SEA,20' Container,,KG,10,Jute Bags,Net Shipped Weights,,,May-22,ICEUS,,1,,,,0.7,,,MT,0.7,0,,10,,220.46,USC/LBS,,154.322,154.322,154.322,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S607700-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1832,,,,,,,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,Sweet Marias,,,,1293,,5/13/2019,2019-05,2019,,,,,1012040,,,,,,TPS,,,US,USA,North America,North America,1012040,,,,1012040,1012040,12040,GUATEMALA ARABICA WASHED STRICTLY HARD BEAN,GUATEMALA ARABICA WASHED STRICTLY HARD BEAN,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,46,,,,Shipment,Shipment,GT,Guatemala,,2018/19,FOT,FCA,CAD-Trust,GTPBR,,GT,Guatemala,USOAK,,US,USA,01_SEA,,,KG,58,Grain Pro Bags / Ecotact,Net Shipped Weights,,,Jul-19,ICEUS,,1,,,,2.668,,,MT,2.668,0,,374,,8245.204,USC/LBS,,21998.20427,21998.20427,21998.20427,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S615062-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1832,,,,,,,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,,,,,1,,06-07-2022,2022-06,2022,08-01-2022,8/15/2022,08-01-2022,8/15/2022,1084924,,,,,,TPS,,,DK,Denmark,EMENA,North Europe,1084924,,,,1084924,1084924,11961,COLOMBIA ARABICA WASHED EXCELSO EP 10%,GREEN COFFEE COLOMBIA ARABICA WASHED EXCELSO EP 10%,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,70,,,,Shipment,Shipment,CO,Colombia,,,FOB,Free on Board,ADV,,,,,DKAAR,,DK,Denmark,01_SEA,20' Container,,KG,11,Jute Bags,Net Shipped Weights,,,Sep-22,ICEUS,,1,,,,0.77,,,MT,0.77,0,,100,,2204.6,USC/LBS,,1697.542,1697.542,1697.542,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S607287-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1832,,,,,,,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,,GCA,,,1293,,4/30/2019,2019-04,2019,,,,,1012015,,,,,,TPS,,,US,USA,North America,North America,1012015,,,,1012015,1012015,12185,PANAMA ARABICA WASHED STRICTLY HARD BEAN,PANAMA ARABICA WASHED STRICTLY HARD BEAN,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,15,,,,Shipment,Shipment,PA,Panama,,2018/19,FOT,FCA,CAD-Trust,PABLB,,PA,Panama,USOAK,,US,USA,01_SEA,,,KG,1,Jute Bags,Net Shipped Weights,,,Jul-19,ICEUS,,1,,,,0.015,,,MT,0.015,0,,2580,,56878.68,USC/LBS,,853.1802,853.1802,853.1802,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
